iter	Passed	Remaining
0	1	175
1	2	141
2	4	131
3	5	120
4	6	121
5	7	116
6	8	112
7	9	109
8	10	108
9	11	106
10	12	104
11	13	102
12	15	100
13	16	99
14	17	97
15	18	95
16	19	93
17	20	91
18	21	90
19	22	88
20	23	87
21	24	86
22	25	85
23	26	84
24	27	82
25	28	81
26	29	79
27	30	78
28	31	77
29	32	75
30	33	74
31	34	73
32	35	71
33	36	70
34	37	69
35	38	68
36	39	67
37	40	66
38	41	65
39	42	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	56
46	49	55
47	50	54
48	51	53
49	53	53
50	54	51
51	55	50
52	56	49
53	57	48
54	57	47
55	58	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	69	36
66	71	35
67	72	33
68	73	33
69	74	31
70	75	30
71	76	29
72	77	28
73	78	27
74	79	26
75	80	25
76	82	24
77	83	23
78	96	25
79	97	24
80	97	22
81	98	21
82	99	20
83	100	19
84	101	17
85	102	16
86	102	15
87	103	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
