iter	Passed	Remaining
0	15	15036
1	16	8008
2	17	5665
3	18	4505
4	18	3779
5	19	3273
6	20	2899
7	21	2626
8	21	2407
9	22	2234
10	23	2101
11	24	1995
12	25	1901
13	25	1823
14	26	1750
15	27	1681
16	28	1621
17	28	1563
18	29	1510
19	29	1467
20	30	1427
21	31	1389
22	32	1360
23	32	1332
24	33	1302
25	34	1277
26	34	1255
27	35	1236
28	36	1215
29	36	1195
30	37	1179
31	38	1167
32	39	1154
33	40	1139
34	40	1127
35	41	1114
36	42	1105
37	43	1096
38	44	1084
39	44	1075
40	45	1066
41	46	1057
42	47	1046
43	47	1036
44	48	1027
45	49	1021
46	50	1014
47	50	1006
48	51	998
49	52	992
50	53	988
51	53	982
52	54	975
53	55	969
54	56	963
55	56	956
56	57	949
57	58	943
58	58	936
59	59	930
60	60	924
61	60	919
62	61	915
63	62	912
64	63	907
65	63	901
66	64	896
67	65	891
68	65	886
69	66	881
70	66	876
71	67	871
72	68	867
73	69	863
74	69	859
75	70	856
76	71	853
77	71	849
78	72	845
79	73	840
80	73	836
81	74	834
82	74	827
83	75	823
84	76	820
85	76	817
86	77	813
87	78	811
88	79	809
89	79	807
90	80	803
91	81	800
92	81	797
93	82	794
94	83	791
95	83	789
96	84	786
97	85	783
98	85	782
99	86	781
100	87	779
101	88	778
102	89	777
103	89	774
104	90	773
105	91	770
106	92	768
107	92	766
108	93	763
109	94	761
110	94	759
111	95	757
112	96	755
113	96	752
114	97	750
115	98	749
116	99	748
117	99	747
118	100	745
119	101	744
120	102	742
121	102	739
122	103	737
123	104	735
124	104	733
125	105	731
126	106	728
127	106	726
128	107	726
129	108	725
130	108	722
131	109	721
132	110	719
133	111	717
134	111	715
135	112	713
136	112	711
137	113	710
138	114	709
139	115	707
140	115	706
141	116	703
142	117	702
143	117	700
144	118	698
145	119	697
146	119	695
147	120	694
148	121	692
149	121	691
150	122	689
151	123	687
152	124	687
153	124	686
154	125	685
155	126	684
156	127	682
157	127	681
158	128	679
159	129	678
160	129	677
161	130	676
162	131	675
163	132	673
164	132	671
165	133	670
166	134	669
167	135	669
168	135	667
169	136	666
170	137	664
171	137	663
172	138	661
173	138	659
174	139	658
175	140	656
176	140	655
177	141	654
178	142	653
179	143	651
180	143	650
181	145	651
182	145	651
183	146	650
184	147	649
185	148	648
186	149	648
187	149	647
188	150	645
189	151	644
190	151	643
191	152	642
192	153	641
193	153	639
194	154	638
195	155	636
196	155	635
197	156	634
198	157	632
199	157	631
200	158	630
201	159	629
202	160	628
203	160	627
204	161	626
205	162	625
206	163	624
207	163	623
208	164	622
209	165	621
210	165	620
211	166	618
212	167	617
213	167	616
214	168	614
215	169	613
216	169	612
217	170	611
218	171	609
219	171	608
220	172	607
221	173	607
222	173	606
223	174	605
224	175	605
225	176	605
226	177	604
227	178	603
228	178	602
229	179	601
